ClusterID: #42BC10
Instance Label,True Group,,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M1P0,Class
1277,Model_1,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,2,1,0
1550,Model_1,,0,1,0,2,1,2,1,0,1,0,0,1,0,0,0,0,2,1,2,1,0
1356,Model_1,,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
1359,Model_1,,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,2,1,1,2,1,0
1380,Model_1,,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2,1,2,1,0
1220,Model_1,,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,2,1,0
1416,Model_1,,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0
1224,Model_1,,0,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,1,1,2,1,0
1535,Model_1,,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,0
1556,Model_1,,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0
1322,Model_1,,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,2,1,0
1370,Model_1,,0,1,0,1,0,1,1,0,0,1,1,2,0,0,0,2,1,0,2,1,0
1231,Model_1,,0,2,0,0,1,1,2,0,0,0,0,2,0,0,1,1,1,0,2,2,0
1571,Model_1,,0,1,0,1,1,2,1,0,0,0,0,2,0,1,0,1,1,0,2,1,0
1554,Model_1,,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,2,1,0
1592,Model_1,,0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,1,0
787,Model_1,,0,1,0,0,1,0,2,0,2,0,0,2,0,1,1,0,1,1,0,0,1
413,Model_1,,0,2,0,0,1,1,0,1,1,0,0,2,0,1,1,1,1,0,0,0,1
587,Model_1,,0,1,0,0,1,0,0,0,2,0,0,2,0,0,1,1,1,0,1,0,1
774,Model_1,,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1
617,Model_1,,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,2,0,1,0,1
703,Model_1,,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,1,2,0,0,0,1
536,Model_1,,0,1,0,1,0,2,1,0,1,1,1,2,0,1,1,1,0,0,0,0,1
786,Model_1,,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,1,1,1,0,0,1
412,Model_1,,0,0,0,0,1,2,0,0,1,1,0,1,0,1,1,0,2,1,0,0,1
592,Model_1,,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
409,Model_1,,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
527,Model_1,,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1
639,Model_1,,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1
744,Model_1,,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,2,0,0,0,1
590,Model_1,,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1
416,Model_1,,0,2,0,1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,1
597,Model_1,,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,2,0,0,0,1
410,Model_1,,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1
675,Model_1,,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,0,1
421,Model_1,,0,2,0,0,0,2,0,1,1,0,2,1,0,0,1,1,1,1,0,0,1
615,Model_1,,0,1,0,1,0,0,2,0,1,0,2,0,0,0,1,1,1,0,0,0,1
417,Model_1,,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1
797,Model_1,,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1
543,Model_1,,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
738,Model_1,,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1
666,Model_1,,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,2,1,0,0,1
705,Model_1,,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,2,2,1,0,0,1
620,Model_1,,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,2,1,0,0,0,1
456,Model_1,,0,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,1,1,0,0,1
425,Model_1,,0,2,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1
538,Model_1,,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1
1411,Model_1,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,0
1417,Model_1,,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,2,0,1,2,1,0
1474,Model_1,,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,2,2,1,0
531,Model_1,,0,0,0,0,0,1,0,2,2,1,0,2,0,0,2,1,1,0,1,0,1
657,Model_1,,0,1,0,0,0,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,1
701,Model_1,,0,1,0,0,0,2,1,1,1,1,1,2,0,0,0,1,1,1,0,0,1
751,Model_1,,0,0,1,0,0,2,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1
420,Model_1,,0,2,1,1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1
581,Model_1,,0,1,1,1,0,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1
568,Model_1,,1,2,1,0,1,1,1,2,1,0,0,2,0,0,0,1,2,1,1,0,1
681,Model_1,,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,0,2,1,1,0,1
798,Model_1,,1,1,1,0,0,1,0,1,1,0,1,2,0,1,0,0,1,0,1,0,1
716,Model_1,,0,1,1,1,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
423,Model_1,,0,1,0,0,0,1,2,1,1,0,1,0,0,1,0,0,2,0,1,0,1
514,Model_1,,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,2,1,1,0,1
603,Model_1,,1,1,0,0,0,1,2,1,1,0,0,1,0,0,2,0,0,0,0,0,1
792,Model_1,,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1
557,Model_1,,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,2,0,1,0,1
510,Model_1,,0,0,0,0,0,0,2,1,1,0,0,1,0,1,2,2,1,0,0,0,1
