Instance,Cluster,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M1P0,Class
1277,#EF2341,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,2,1,0
1550,#EF2341,0,1,0,2,1,2,1,0,1,0,0,1,0,0,0,0,2,1,2,1,0
1356,#EF2341,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
1359,#EF2341,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,2,1,1,2,1,0
1380,#EF2341,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2,1,2,1,0
1220,#EF2341,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,2,1,0
1416,#EF2341,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0
1224,#EF2341,0,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,1,1,2,1,0
1535,#EF2341,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,0
1556,#EF2341,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0
1322,#EF2341,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,2,1,0
1370,#EF2341,0,1,0,1,0,1,1,0,0,1,1,2,0,0,0,2,1,0,2,1,0
1231,#EF2341,0,2,0,0,1,1,2,0,0,0,0,2,0,0,1,1,1,0,2,2,0
1571,#EF2341,0,1,0,1,1,2,1,0,0,0,0,2,0,1,0,1,1,0,2,1,0
1554,#EF2341,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,2,1,0
1592,#EF2341,0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,1,0
787,#EF2341,0,1,0,0,1,0,2,0,2,0,0,2,0,1,1,0,1,1,0,0,1
413,#EF2341,0,2,0,0,1,1,0,1,1,0,0,2,0,1,1,1,1,0,0,0,1
587,#EF2341,0,1,0,0,1,0,0,0,2,0,0,2,0,0,1,1,1,0,1,0,1
774,#EF2341,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1
617,#EF2341,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,2,0,1,0,1
703,#EF2341,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,1,2,0,0,0,1
536,#EF2341,0,1,0,1,0,2,1,0,1,1,1,2,0,1,1,1,0,0,0,0,1
786,#EF2341,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,1,1,1,0,0,1
412,#EF2341,0,0,0,0,1,2,0,0,1,1,0,1,0,1,1,0,2,1,0,0,1
592,#EF2341,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
409,#EF2341,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
527,#EF2341,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1
639,#EF2341,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1
744,#EF2341,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,2,0,0,0,1
590,#EF2341,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1
416,#EF2341,0,2,0,1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,1
597,#EF2341,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,2,0,0,0,1
410,#EF2341,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1
675,#EF2341,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,0,1
421,#EF2341,0,2,0,0,0,2,0,1,1,0,2,1,0,0,1,1,1,1,0,0,1
615,#EF2341,0,1,0,1,0,0,2,0,1,0,2,0,0,0,1,1,1,0,0,0,1
417,#EF2341,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1
797,#EF2341,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1
543,#EF2341,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
738,#EF2341,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1
666,#EF2341,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,2,1,0,0,1
705,#EF2341,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,2,2,1,0,0,1
620,#EF2341,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,2,1,0,0,0,1
456,#EF2341,0,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,1,1,0,0,1
425,#EF2341,0,2,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1
538,#EF2341,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1
1411,#EF2341,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,0
1417,#EF2341,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,2,0,1,2,1,0
1474,#EF2341,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,2,2,1,0
531,#EF2341,0,0,0,0,0,1,0,2,2,1,0,2,0,0,2,1,1,0,1,0,1
657,#EF2341,0,1,0,0,0,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,1
701,#EF2341,0,1,0,0,0,2,1,1,1,1,1,2,0,0,0,1,1,1,0,0,1
751,#EF2341,0,0,1,0,0,2,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1
420,#EF2341,0,2,1,1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1
581,#EF2341,0,1,1,1,0,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1
568,#EF2341,1,2,1,0,1,1,1,2,1,0,0,2,0,0,0,1,2,1,1,0,1
681,#EF2341,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,0,2,1,1,0,1
798,#EF2341,1,1,1,0,0,1,0,1,1,0,1,2,0,1,0,0,1,0,1,0,1
716,#EF2341,0,1,1,1,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
423,#EF2341,0,1,0,0,0,1,2,1,1,0,1,0,0,1,0,0,2,0,1,0,1
514,#EF2341,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,2,1,1,0,1
603,#EF2341,1,1,0,0,0,1,2,1,1,0,0,1,0,0,2,0,0,0,0,0,1
792,#EF2341,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1
557,#EF2341,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,2,0,1,0,1
510,#EF2341,0,0,0,0,0,0,2,1,1,0,0,1,0,1,2,2,1,0,0,0,1
623,#EF2341,0,2,0,0,0,1,2,2,1,0,0,1,0,1,0,0,1,0,0,0,1
419,#EF2341,0,1,0,2,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1
776,#EF2341,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
574,#EF2341,1,0,0,0,0,1,2,1,1,1,1,1,0,0,0,1,1,1,0,0,1
651,#EF2341,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,1,0,2,0,0,1
578,#EF2341,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
563,#EF2341,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
573,#EF2341,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
428,#EF2341,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1
449,#EF2341,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,2,0,0,0,1
520,#EF2341,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
704,#EF2341,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1
442,#EF2341,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0,1
448,#EF2341,1,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
539,#EF2341,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1
632,#EF2341,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
482,#EF2341,0,0,1,1,0,0,0,1,1,1,0,2,1,1,0,0,1,1,0,0,1
643,#EF2341,0,2,0,1,0,0,1,1,1,1,0,2,1,1,0,1,1,1,0,0,1
404,#EF2341,0,1,0,0,1,0,1,2,1,0,0,1,1,0,0,0,0,2,0,0,1
640,#EF2341,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,2,1,0,0,1
769,#EF2341,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1
622,#EF2341,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1
584,#EF2341,0,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
616,#EF2341,0,1,2,0,0,2,0,0,1,0,1,2,1,1,0,1,0,1,0,0,1
582,#EF2341,2,0,0,1,1,2,0,2,1,0,0,1,0,1,0,1,1,0,1,0,1
565,#EF2341,0,1,0,0,1,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1
628,#EF2341,0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
430,#EF2341,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1
440,#EF2341,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1
